Tettsted;Kommune;Folkemengde;Folkemengde;Areal, km2;Areal, km2;Areal, km2;
I alt;Fordelt på kommune;I alt;Fordelt på kommune;Innbyggere pr. km2;
0201 Ryggebyen i alt; ;2515;.;1,71;.;1471;
 ;0135 Råde; ;86;.;0,15;573;
 ;0136 Rygge; ;2429;.;1,56;1557;
0202 Larkollen;0136 Rygge;1602; ;1,60; ;1001;
0203 Kirkegrenda;0136 Rygge;349; ;0,30; ;1163;
0204 Fuglevik;0136 Rygge;478; ;0,36; ;1328;
0206 Møvik;0136 Rygge;274; ;0,24; ;1142;
0211 Kirkebygden;0137 Våler;1370; ;0,95; ;1442;
0212 Våk;0137 Våler;927; ;0,50; ;1854;
0213 Svinndal;0137 Våler;447; ;0,41; ;1090;
0214 Rød;0137 Våler;741; ;0,28; ;2646;
0221 Tomter;0138 Hobøl;1804; ;1,02; ;1769;
0223 Ringvoll;0138 Hobøl;548; ;0,44; ;1245;
0503 Hølen;0211 Vestby;882; ;0,65; ;1357;
0508 Vestby;0211 Vestby;7395; ;3,45; ;2143;
0511 Siggerud;0213 Ski;1442; ;0,73; ;1975;
0512 Ski i alt; ;19357;.;9,37;.;2066;
 ;0213 Ski;.;13226;.;5,49;2409;
 ;0214 Ås;.;6131;.;3,88;1580;
0513 Kråkstad;0213 Ski;1089; ;0,57; ;1911;
0514 Skotbu;0213 Ski;345; ;0,13; ;2654;
0515 Sandvoll;0213 Ski;256; ;0,27; ;948;
0523 Ås;0214 Ås;10110; ;4,74; ;2133;
0531 Drøbak;0215 Frogn;13409; ;5,52; ;2429;
0541 Nesoddtangen;0216 Nesodden;12803; ;6,17; ;2075;
0542 Fjellstrand;0216 Nesodden;1111; ;0,87; ;1277;
0543 Fagerstrand;0216 Nesodden;2397; ;1,62; ;1480;
0544 Torvik;0216 Nesodden;403; ;0,43; ;937;
0551 Lommedalen;0219 Bærum;11327; ;3,86; ;2934;
0571 Heggedal i alt; ;4692;.;2,05;.;2289;
 ;0220 Asker;.;4422;.;1,91;2315;
 ;0627 Røyken;.;270;.;0,14;1929;
0572 Konglungen;0220 Asker;246; ;0,20; ;1230;
0581 Aursmoen;0221 Aurskog-Høland;3347; ;2,52; ;1328;
0582 Bjørkelangen;0221 Aurskog-Høland;3368; ;2,76; ;1220;
0584 Løken;0221 Aurskog-Høland;1564; ;1,51; ;1036;
0585 Momoen;0221 Aurskog-Høland;492; ;0,42; ;1171;
0586 Hemnes;0221 Aurskog-Høland;711; ;0,72; ;988;
0592 Blaker;0226 Sørum;487; ;0,44; ;1107;
0593 Hogsetfeltet;0226 Sørum;871; ;0,41; ;2124;
0594 Sørumsand;0226 Sørum;4910; ;2,17; ;2263;
0595 Lørenfallet;0226 Sørum;1055; ;0,66; ;1598;
0596 Lindeberg;0226 Sørum;1106; ;0,64; ;1728;
0597 Frogner;0226 Sørum;1205; ;0,67; ;1799;
0598 Lundermoen;0226 Sørum;1428; ;0,66; ;2164;
0601 Åkrene;0227 Fet;349; ;0,23; ;1517;
0602 Fetsund;0227 Fet;5657; ;2,59; ;2184;
0603 Fjellsrud;0227 Fet;604; ;0,42; ;1438;
0604 Østersund;0227 Fet;2391; ;1,42; ;1684;
0611 Flateby;0229 Enebakk;3731; ;1,61; ;2317;
0612 Ytre Enebakk;0229 Enebakk;4156; ;2,37; ;1754;
0613 Kirkebygda;0229 Enebakk;639; ;0,54; ;1183;
0622 Leirsund i alt; ;1396;.;0,77;.;1813;
 ;0226 Sørum;.;77;.;0,06;1283;
 ;0231 Skedsmo;.;1319;.;0,71;1858;
0623 Hellerud;0231 Skedsmo;224; ;0,52; ;431;
0633 Åneby;0233 Nittedal;1399; ;0,62; ;2256;
0635 Rotnes;0233 Nittedal;6333; ;2,82; ;2246;
0639 Løstad;0233 Nittedal;3208; ;1,56; ;2056;
0642 Grønlund;0234 Gjerdrum;4743; ;2,15; ;2206;
0651 Kløfta;0235 Ullensaker;7466; ;3,65; ;2045;
0653 Sand;0235 Ullensaker;2248; ;0,86; ;2614;
0655 Sessvollmoen;0235 Ullensaker;1140; ;1,05; ;1086;
0656 Nordkisa;0235 Ullensaker;1014; ;0,68; ;1491;
0657 Borgen;0235 Ullensaker;1093; ;0,56; ;1952;
0658 Algarheim;0235 Ullensaker;573; ;0,27; ;2122;
0659 Jessheim;0235 Ullensaker;17687; ;7,03; ;2516;
0661 Opakermoen;0236 Nes;547; ;0,47; ;1164;
0662 Årnes;0236 Nes;4212; ;2,72; ;1549;
0663 Haga;0236 Nes;611; ;0,63; ;970;
0665 Fjellfoten;0236 Nes;1129; ;0,76; ;1486;
0666 Skogrand;0236 Nes;335; ;0,34; ;985;
0667 Brårud;0236 Nes;456; ;0,34; ;1341;
0668 Vormsund;0236 Nes;578; ;1,09; ;530;
0669 Tomteråsen;0236 Nes;798; ;0,50; ;1596;
0670 Kampå;0236 Nes;828; ;0,72; ;1150;
0671 Minnesund;0237 Eidsvoll;520; ;0,70; ;743;
0672 Langset;0237 Eidsvoll;372; ;0,37; ;1005;
0673 Eidsvoll;0237 Eidsvoll;5017; ;3,84; ;1307;
0674 Finnbråtan;0237 Eidsvoll;836; ;0,58; ;1441;
0675 Råholt i alt; ;13156;.;8,26; ;1593;
 ;0235 Ullensaker;.;454;.;0,30;1513;
 ;0237 Eidsvoll;.;12702;.;7,96;1596;
0681 Maura;0238 Nannestad;3648; ;2,14; ;1705;
0682 Teigebyen;0238 Nannestad;2845; ;1,51; ;1884;
0683 Åsgrenda;0238 Nannestad;928; ;0,80; ;1160;
0684 Løkenfeltet;0238 Nannestad;620; ;0,44; ;1409;
0685 Eltonåsen;0238 Nannestad;1152; ;0,59; ;1953;
0691 Prestegårdshagen;0239 Hurdal;371; ;0,29; ;1279;
0692 Torget;0239 Hurdal;675; ;0,79; ;854;
0701 Smestad;0228 Rælingen;2110; ;0,79; ;2671;
0702 Fjellstad;0228 Rælingen;958; ;0,50; ;1916;
0721 Aulifeltet i alt; ;2825;.;1,62;.;1744;
 ;0226 Sørum;.;620;.;0,63;984;
 ;0236 Nes;.;2205;.;0,99;2227;
0722 Neskollen;0236 Nes;2222; ;0,75; ;2963;
0723 Bjertnestunet;0236 Nes;217; ;0,14; ;1550;
0801 Oslo i alt; ;988873; ;267,44;.;3698;
 ;0213 Ski;.;11141;.;4,41;2526;
 ;0217 Oppegård;.;26514;.;10,13;2617;
 ;0219 Bærum;.;110981;.;43,55;2548;
 ;0220 Asker;.;54966;.;30,71;1790;
 ;0226 Sørum;.;2667;.;0,90;2963;
 ;0228 Rælingen;.;13997;.;4,47;3131;
 ;0230 Lørenskog;.;36926;.;12,37;2985;
 ;0231 Skedsmo;.;50579;.;19,86;2547;
 ;0233 Nittedal;.;10665;.;4,94;2159;
 ;0301 Oslo;.;661442;.;130,95;5051;
 ;0626 Lier;.;2066;.;1,37;1508;
 ;0627 Røyken;.;6929;.;3,78;1833;
0802 Movatn;0301 Oslo;290; ;0,56; ;518;
1001 Hamar i alt; ;27324;.;13,80;.;1980;
 ;0403 Hamar;.;25364;.;12,11;2094;
 ;0412 Ringsaker;.;1856;.;1,46;1271;
 ;0417 Stange;.;104;.;0,23;452;
1002 Ingeberg;0403 Hamar;752; ;0,44; ;1709;
1003 Blæstadgrenda;0403 Hamar;424; ;0,32; ;1325;
1011 Kongsvinger;0402 Kongsvinger;12014; ;7,90; ;1521;
1012 Roverud;0402 Kongsvinger;800; ;0,95; ;842;
1021 Brumunddal;0412 Ringsaker;10006; ;7,10; ;1409;
1022 Tingnes;0412 Ringsaker;396; ;0,43; ;921;
1023 Moelv;0412 Ringsaker;4239; ;3,93; ;1079;
1026 Kylstad;0412 Ringsaker;409; ;0,25; ;1636;
1027 Mesnali;0412 Ringsaker;375; ;0,61; ;615;
1028 Stavsjø;0412 Ringsaker;223; ;0,33; ;676;
1031 Slemsrud;0403 Hamar;516; ;0,40; ;1290;
1041 Ådalsbruk;0415 Løten;771; ;0,72; ;1071;
1042 Løten;0415 Løten;2805; ;1,88; ;1492;
1043 Løiten brænderi;0415 Løten;740; ;0,73; ;1014;
1051 Tangen;0417 Stange;506; ;0,56; ;904;
1052 Stange;0417 Stange;3024; ;2,06; ;1468;
1053 Sørbygdafeltet;0417 Stange;417; ;0,38; ;1097;
1054 Ilseng i alt; ;951;.;1,06;.;897;
 ;0403 Hamar;.;32;.;0,08;400;
 ;0417 Stange;.;919;.;0,98;938;
1055 Gata;0417 Stange;539; ;0,59; ;914;
1056 Romedal sentrum;0417 Stange;596; ;0,49; ;1216;
1058 Bekkelaget;0417 Stange;6347; ;3,29; ;1929;
1061 Sand;0418 Nord-Odal;1041; ;1,34; ;777;
1062 Mo;0418 Nord-Odal;412; ;0,54; ;763;
